Date,Country,Snack,Packaging,Presentation,Taste,Texture
1/5/2023,Korea,Ottogi Pushu Pushu – Bolgogi Flavor,4,2.5,4,4
1/5/2023,Korea,"Soejun Yang Jelly ""cat paws""",5,5,4,4
1/5/2023,Korea,Crown Couque D’asse – Coffee,4,4.5,4,5
1/5/2023,Korea,Crown Couque D’asse – White,4,4.5,3,5
1/5/2023,Korea,Lotte Custard Cake,1.5,1.5,3.5,1
1/11/2023,Korea,Crown Butter Waffle Cookie,3.5,3.5,4,3.5
1/11/2023,Korea,CW Food Sticky Chocolate Chip,3.5,3,3.5,2
1/11/2023,Korea,Lotte Choco Pie,2.5,3,2.5,2
1/11/2023,Korea,Pororo Straw Type Jelly,4.5,3,3,3
1/11/2023,Korea,Haitai Apple French Pie,3.5,2,1.5,2
2/3/2023,United Kingdom,Skips Tapioca Snack Prawn Cocktail Flavor,3,3,2,4
2/3/2023,United Kingdom,Cadbury crunchie chocolate bar,3.5,4,4.5,5
2/3/2023,United Kingdom,Millions strawberry fruit candy,4,2.5,4,4
2/3/2023,United Kingdom,flake milk chocolate bar,3.5,2.5,3,1.5
2/3/2023,United Kingdom,Rowntrees Random fruit snacks,3.5,4,3.5,3
2/17/2023,United Kingdom,Cabury Fudge,3,4,3.5,2.5
2/17/2023,United Kingdom,Hula Hoops Puft Grilled Beef,2,2.5,2.5,4.5
2/17/2023,United Kingdom,Cadbury Double Decker Chocolate Bar,3.5,3.5,3.5,3.5
2/17/2023,United Kingdom,Space Raiders Spicy,4.5,4.5,3.5,4
2/17/2023,United Kingdom,Sherbert fountain,3.5,1.5,1.5,1
2/17/2023,United Kingdom,Xtreme Chewitz sour apple chews,4,3,3.5,3
2/17/2023,United Kingdom,"Jaffa Cakes ""The Original""",4.5,3.5,2,4
2/17/2023,Belgium,Lays Grills Gerookt/Fume,3.5,3,3.5,4
2/17/2023,Belgium,Haribo Pasta Fruuta (Fizz!),4,4,4.5,4
2/17/2023,Belgium,Lotus Frangipane,2,3,3,4
2/17/2023,Belgium,Biscuiterie Jules Destrooper,3.5,3.5,4.5,3.5
2/17/2023,Belgium,Grefin(?) Eclair,3,2.5,4,4
3/2/2023,Belgium,Cote D'OR chocolate,2.5,4,4.5,5
3/2/2023,Belgium,Lotus Biscoff with Belgium Choclate,4.5,4,4,4
3/2/2023,Belgium,Gicopa violet,2,3,4.5,4
3/2/2023,Belgium,DeliChoc Choco'Bar,3,3.5,3,2.5
3/2/2023,Belgium,Croky Bicky flavor Chips,3,4,2,4
3/2/2023,Belgium,Suzy Gaufre DeLiege Luikse Wafel Chocolade,3,3.5,4,4
3/11/2023,Colombia,"Mani Moto Recubierto ""Japanese Peanuts""",4,3.5,3,2.5
3/11/2023,Colombia,Jumbo Rosca,3.5,4,4,4.5
3/11/2023,Colombia,Tostacos Picante,4,4,3.5,3.5
3/11/2023,Colombia,Chokis Chocolatoasas y Deliciosass,2.5,3,4,5
3/11/2023,Colombia,Supercoco Choco Snacks,4,3,4,4
3/17/2023,Colombia,Gol Wafer Choclate Bar,3,3,4,4
3/17/2023,Colombia,Gol 'Mega arequipe' wafer choclate bar,3.5,3,3.5,4
3/17/2023,Colombia,Margarita Pollo potato chips,3.5,3,3.5,3
3/17/2023,Colombia,Jumbo Flow,4,4,4,4
3/17/2023,Colombia,Colombina Coffee Delight chewy candy,4,3.5,3.5,2.5
4/7/2023,Colombia,Cococelle wafers,3.5,3.5,3.5,4
4/7/2023,Colombia,Chokis Chocobase cookies,4,2.5,4,3.5
4/7/2023,Colombia,Choclitos Limon chips,3,3.5,2,4
