Date,Country,Snack,Packaging,Presentation,Taste,Texture
1/5/2023,Korea,Ottogi Pushu Pushu – Bolgogi Flavor,3.5,2.5,3,3
1/5/2023,Korea,"Soejun Yang Jelly ""cat paws""",5,5,4,4
1/5/2023,Korea,Crown Couque D’asse – Coffee,2.5,3.5,3.5,4
1/5/2023,Korea,Crown Couque D’asse – White,3,3.5,3.5,4
1/5/2023,Korea,Lotte Custard Cake,2,2,4.5,1.5
1/11/2023,Korea,Crown Butter Waffle Cookie,2.5,3.5,3.5,3
1/11/2023,Korea,CW Food Sticky Chocolate Chip,4,3,3,2.5
1/11/2023,Korea,Lotte Choco Pie,2.5,2.5,2,2
1/11/2023,Korea,Pororo Straw Type Jelly,4,2.5,3.5,4
1/11/2023,Korea,Haitai Apple French Pie,3,2,1.5,1.5
2/3/2023,United Kingdom,Skips Tapioca Snack Prawn Cocktail Flavor,2.5,2.5,2.5,3.5
2/3/2023,United Kingdom,Cadbury crunchie chocolate bar,3,3.5,1.5,4.5
2/3/2023,United Kingdom,Millions strawberry fruit candy,3.5,2,3.5,1.5
2/3/2023,United Kingdom,flake milk chocolate bar,3.5,2,1,1
2/3/2023,United Kingdom,Rowntrees Random fruit snacks,3.5,4.5,3,3.5
2/17/2023,United Kingdom,Cabury Fudge,3,3.5,1,3.5
2/17/2023,United Kingdom,Hula Hoops Puft Grilled Beef,1.5,2,3,3.5
2/17/2023,United Kingdom,Cadbury Double Decker Chocolate Bar,3.5,3,2,3
2/17/2023,United Kingdom,Space Raiders Spicy,4,4,4,4
2/17/2023,United Kingdom,Sherbert fountain,2.5,1,1,1.5
2/17/2023,United Kingdom,Xtreme Chewitz sour apple chews,3.5,3,3,2
2/17/2023,United Kingdom,"Jaffa Cakes ""The Original""",4.5,3,3,4
2/17/2023,Belgium,Lays Grills Gerookt/Fume,3,3.5,4,4
2/17/2023,Belgium,Haribo Pasta Fruuta (Fizz!),3.5,4,4,2
2/17/2023,Belgium,Lotus Frangipane,3,3.5,2,3.5
2/17/2023,Belgium,Biscuiterie Jules Destrooper,2.5,3.5,3,3.5
2/17/2023,Belgium,Grefin(?) Eclair,3,2,3.5,4
3/2/2023,Belgium,Cote D'OR chocolate,2,4,4,5
3/2/2023,Belgium,Lotus Biscoff with Belgium Choclate,3.5,3.5,4,4
3/2/2023,Belgium,Gicopa violet,1.5,4,2.5,3
3/2/2023,Belgium,DeliChoc Choco'Bar,2,3,2,3
3/2/2023,Belgium,Croky Bicky flavor Chips,3,4,3,3.5
3/2/2023,Belgium,Suzy Gaufre DeLiege Luikse Wafel Chocolade,3.5,3.5,4,4.5
3/11/2023,Colombia,"Mani Moto Recubierto ""Japanese Peanuts""",4,2.5,3,2
3/11/2023,Colombia,Jumbo Rosca,2.5,3.5,4,4
3/11/2023,Colombia,Tostacos Picante,3.5,3.5,3,3
3/11/2023,Colombia,Chokis Chocolatoasas y Deliciosass,2,2,2,4.5
3/11/2023,Colombia,Supercoco Choco Snacks,3.5,2.5,4,3.5
3/17/2023,Colombia,Gol Wafer Choclate Bar,3,2,2,3
3/17/2023,Colombia,Gol 'Mega arequipe' wafer choclate bar,3.5,2.5,2.5,3
3/17/2023,Colombia,Margarita Pollo potato chips,3.5,2.5,2.5,3
3/17/2023,Colombia,Jumbo Flow,3.5,3,3,4
3/17/2023,Colombia,Colombina Coffee Delight chewy candy,3.5,3.5,3,2
4/7/2023,Colombia,Cococelle wafers,3,2.5,4,3.5
4/7/2023,Colombia,Chokis Chocobase cookies,2,2.5,3.5,3
4/7/2023,Colombia,Choclitos Limon chips,2.5,3.5,2,3
4/7/2023,Colombia,Bonbo Bum suckers,2.5,2.5,2.5,3
4/22/2023,Canada,Bear Paws Pattes d'ours,3.5,3.5,4,2
4/22/2023,Canada,KitKat Chunky (with french on it),3,3.5,2.5,3
4/22/2023,Canada,Humpty Dumpty Ringolos BBQ Flavor,4,3.5,4,4
4/22/2023,Canada,Coffee Crisp Double Double Chocolate Bar,2,2,3,3
4/22/2023,Canada,Kerr's Toffee candy,2.5,1.5,1.5,2
4/28/2023,Canada,"Ruffles ""All Dressed""",3,4,3.5,4
4/28/2023,Canada,mr. Big Original,2.5,2.5,2.5,3.5
4/28/2023,Canada,Old Dutch Ketchup Flavored Potatoe Chips,5,4,2,3.5
4/28/2023,Canada,Collection M Gourmet 100% PURE Maple Syrup Sucker,4,4,4,2
5/5/2023,Ireland,Cabury Roundie,4,4,3,4
5/5/2023,Ireland,Mint Crisp Mint Chocolate Bar,3,3.5,3,3
5/5/2023,Ireland,Smiths Scampi Flavor fries,2.5,4,4.5,3.5
5/5/2023,Ireland,Caffrey's Big Time Chocolate Caramel Bar,3.5,2.5,1.5,2
5/5/2023,Ireland,Burts Guinness Thick Cut Hand Cooked Potato Chips,3,2,2.5,4
5/15/2023,Ireland,Rap Snacks Nikki Minaj Salt & Vinegar & Trufflesl,3.5,4.5,4,3.5
5/15/2023,Ireland,Rap Snacks Rick Ross Sweet Chilli Lemon Pepper,3,3.5,3.5,3.5
5/15/2023,Ireland,"Rap Snacks Lily Baby ""All In"" Flavor Salt & Vinegar, BBQ, Onion, garlic, and more",3,4,2,3.5
5/15/2023,Ireland,Hard MtnbDew Baja Blast Zero Sugar,5,4,4,3
6/2/2023,Ireland,Cadbury Snack! shortcake,3,3.5,3,3.5
6/2/2023,Ireland,Cadbury Dairy Milk Gold Crisp,4,3,2,4
6/2/2023,Ireland,Cabury BOOST,3,2.5,1.5,3.5
6/2/2023,Ireland,Swizzlers Refreshers Lemon Flavor,3.5,3,4,3
6/2/2023,Ireland,Keogh's Shamrock and Sour Cream Chips,5,4.5,5,4
6/2/2023,Ireland,Cleeves Original Toffee,2.5,2,3,1.5
6/9/2023,Italy,Tronky Nocciola,2.5,2,3.5,3.5
6/9/2023,Italy,Loacker Classic Cocoa & Milk Wafer,4,4,4,4
6/9/2023,Italy,Croccantelle susto Pizza,2.5,3,3,2
6/9/2023,Italy,Mulino Bianco Baiocchi cookie,2.5,4,3.5,4
6/9/2023,Italy,Buondi Motta Cioccolato cake,2,2,2,2
6/15/2023,Italy,Loacker Tortina chococolate circle,3,4,2,4
6/15/2023,Italy,Loacker Napolitaner Creme chocolate,3,4.5,3,3.5
6/15/2023,Italy,Salati Preziosi Parika chips,4,3.5,4.5,3.5
6/15/2023,Italy,Giovanni Cova & C Crostatina albicocca (apricart tart),4,4.5,3.5,4.5
6/15/2023,Spain,nocilla sin chocoleche dip sticks,1.5,2.5,3.5,3.5
6/15/2023,Spain,xispazos sabor electrico snack de maiz,2,3.5,3.5,4
6/15/2023,Spain,Palotes damel sabor fresa,2,1.5,1.5,3
6/15/2023,Spain,Cheetos pelotazos futebolas,3.5,4,3,4
6/15/2023,Spain,Dulcesol palmeritas,2,4,4.5,4.5
7/15/2023,Italy,Ferro duplo con nocciole intere (chocolate bar),2.5,4,3.5,4.5
7/15/2023,Italy,Grisbi snack rice con riso soffiato,2.5,2,3,3
7/15/2023,Italy,Fonzies gli originali chips,2.5,2,3,2
7/22/2023,Spain,Fini Gourmet Red liqurice srawberry,3,3,2,2
7/22/2023,Spain,Dulcesol pandeorino cacao,3,2.5,4,4
7/22/2023,Spain,Fini Bricks Ladrillos,2,3,4.5,2
7/22/2023,Spain,Fini Roller Fizz Strawberry,2.5,3,3,3.5
7/22/2023,Spain,el Valle Sabor Huevo Frito Fried Egg Taste,4.5,4,3.5,4
7/28/2023,India,"Rola-a-cola ""The solid cola""",4,2,3.5,3
7/28/2023,India,"Parle, Fab! Bourbon",3,4,3,3
7/28/2023,India,KurKure Green Chutney Style,3.5,3,4,3.5
7/28/2023,India,Treat Burst Choco Fills,2,3,2,3
7/28/2023,India,Parle kismi candy,2.5,2,4,3.5
8/5/2023,India,GoodDay Cashew Cookies,3,3.5,4,3.5
8/5/2023,India,Waffy vanilla wafers,4.5,3,2,3
8/5/2023,India,Prele-G Gold Biscuits,2,4,4.5,4
8/18/2023,India,5050 Maska Chaska,2.5,3.5,3,4
8/18/2023,India,Harldiramm's Indian Snacks Aloo Bhujia,3.5,2,4,3
8/18/2023,India,Cheetos Masala Balls,3.5,3.5,4,3
9/8/2023,China,WantWant Honey Kissed Crunchy Rice Balls (bee egg kid),4,4,3,2
9/8/2023,China,WantWant Lychee Jelly Gummies,3.5,2.5,3.5,3
9/8/2023,China,Skittles Floral Fruits,4.5,3.5,3,3.5
9/8/2023,China,Ezaki Glico Spicy Spring Onion Crackers,4,3,3.5,4
9/8/2023,China,Hi-Chew Grapefruit,5,3.5,4.5,4
9/16/2023,China,Chips Ahoy Cranberry,2,4,3.5,4
9/16/2023,China,Oreo Oolong + Peach ,3.5,4,2,3
9/16/2023,China,WantWant Fried Rick Cracker,4,3.5,4,4
9/16/2023,China,Orion Peach Jelly Gummies ,5,4,4,4.5
9/22/2023,China,Oishi Orange Candy,2.5,2,2,3
9/22/2023,China,Aji Oolong Peach Jelly,3.5,2,3,2
9/22/2023,Thailand,Cucumber Lays,3.5,3.5,4,3.5
9/22/2023,Thailand,Manora Fried Pumpkin Chips,4,3,4,4
9/22/2023,Thailand,Big Roll Seaweed,4,2,4.5,2
9/22/2023,Thailand,Pretz Larb flavor,2.5,3.5,4.5,3
9/22/2023,Thailand,Mentos soda mix,3.5,3.5,3.5,2
9/22/2023,Thailand,Kopiko Real Coffee Anytime Anywhere Coffee Candy,4,2.5,3.5,3
10/20/2023,Thailand,Koh Kae Coconut Cream Peanuts,3.5,2.5,3.5,4
10/20/2023,Thailand,Yoyo Cola Jelly Pieces,3.5,3.5,4,4.5
10/20/2023,Thailand,Arnotts Stikko fingers chocolate wafer sticks,2,3,1.5,3
10/20/2023,Thailand,Pocky Sumer Paradise Peach Lychee & Elderflower,4.5,3,3.5,4
10/20/2023,Thailand,Yoguhurt,4,2.5,3,2
11/3/2023,Thailand,Big Sheet Seaweed Spicy,3.5,2.5,4.5,4
11/3/2023,Thailand,Jack & Jill Cocont Crackers,4,4,4,4.5
11/3/2023,Thailand,"Black Pink ""venom cream"" (Strawberry) Oreos",3.5,3,1.5,3.5
11/3/2023,Thailand,Lush chocolate chewy candy,2.5,2,2,2
11/3/2023,Thailand,Lays Shrimp Tom Yum Hot Pot,5,3,4,3.5
12/2/2023,Caribbean,Jamaican Choice Spice Bun,3.5,2.5,4,3
12/2/2023,Caribbean,Cherry Berries,2,2.5,3,3
12/2/2023,Caribbean,Ole Xtreme Rranch Tortilla Chips,4,3,3.5,3.5
12/2/2023,Caribbean,Tiki Gold Hazelnut,2,3,4,4.5
12/8/2023,Greece,Molta croissant,4,3.5,4,3.5
12/8/2023,Greece,Jannis Sesame Bar & Honey,4,3,2.5,3
12/8/2023,Greece,Chipita chips Oregano,3,4,4,3.5
12/8/2023,Greece,Kiss Strawberry milk chocolate strawberry bar,2,3.5,4,4
12/8/2023,Greece,"Ion Chocolates (mille-feuille, cocoa, strawberry)",2.5,4,3,3.5
